ID,Product Name,Product Description,Price,Color
ALK231009,Fabrics 3 Piece Suit,Printed Light Khaddar | Top Bottoms Dupatta,3490,NAVY
BLK231004,Fabrics 3 Piece Suit,Printed Embroidered Light Khaddar | Top Bottoms Dupatta,4290,OLIVE
ACA231008,Fabrics 3 Piece Suit,Printed Cambric | Top Bottoms Dupatta,3490,BEIGE
ILK231001,Fabrics 2 Piece,Printed Embroidered Light Khaddar | Top Bottoms,3990,D-GREEN
JK231001,Fabrics 2 Piece,Printed Khaddar | Top Bottoms,2490,WHITE
MLK231001,Fabrics 2 Piece,Printed Embroidered Light Khaddar | Top Dupatta,3390,GREEN
AK231006,Fabrics 3 Piece Suit,Printed Khaddar | Top Bottoms Dupatta,3490,ORANGE
BLK231001,Fabrics 3 Piece Suit,Printed Embroidered Light Khaddar | Top Bottoms Dupatta,4290,NAVY
JK231002,Fabrics 2 Piece,Printed Khaddar | Top Bottoms,2490,ORANGE
BCH231002,Fabrics 3 Piece Suit,Dyed Embroidered Crosshatch | Top Bottoms Dupatta,5490,BEIGE
ALK231017,Fabrics 3 Piece Suit,Printed Light Khaddar | Top Bottoms Dupatta,3490,NAVY
BCH231003,Fabrics 3 Piece Suit,Dyed Embroidered Crosshatch | Top Bottoms Dupatta,5490,D-PINK
BK231002,Fabrics 3 Piece Suit,Printed Embroidered Khaddar | Top Bottoms Shawl,5490,BLACK
BK231004,Fabrics 3 Piece Suit,Printed Embroidered Khaddar | Top Bottoms Dupatta,4990,OLIVE
BLK231007,Fabrics 3 Piece Suit,Printed Embroidered Light Khaddar | Top Bottoms Dupatta,4290,GREEN
BLK231008,Fabrics 3 Piece Suit,Printed Embroidered Light Khaddar | Top Bottoms Dupatta,4290,BLUE
BLK231005,Fabrics 3 Piece Suit,Printed Embroidered Light Khaddar | Top Bottoms Dupatta,4290,MUSTARD
BK231001,Fabrics 3 Piece Suit,Printed Embroidered Khaddar | Top Bottoms Shawl,5490,GREEN
EET24146,Classic Kurta,Printed | Cambric,2490,MULTI
EST23427,Batwing Tunic,Printed Embroidered | Dull Raw Silk,6490,MULTI
EET23534,Drop Shoulder,Printed | Khaddar,3490,NAVY
EST23430,Classic Kameez,Printed Embroidered | Dull Raw Silk,4990,OFF-WHITE
EST23424,Classic Kameez,Yarn Dyed | Cotton Polyester Broshia Jacquard,4990,GREEN
EET23532,Choga,Dyed Embroidered | Crosshatch,3690,BLACK
EST23420,Classic Kurta,Dyed Embroidered | Dull Raw Silk,4990,PURPLE
EST23419,Classic Kurta,Dyed Embroidered | Dull Raw Silk,6990,OFF-WHITE
EST23423,Classic Kameez,Dyed Embroidered | Dull Raw Silk,4990,PINK
EET23528,Drop Shoulder,Dyed Embroidered | Crosshatch,3190,GREEN
EET24141,Classic Kurta,Printed | Cambric,2490,MULTI
EST23429,Choga,Printed Embroidered | Dull Raw Silk,5990,TURQUOISE
LLA230902,Fabrics 2 Piece,Printed Lawn | Top Dupatta,2490,BEIGE
JCA231003,Fabrics 2 Piece,Printed Cambric | Top Bottoms,2490,GREEN
JLK231002,Fabrics 2 Piece,Printed Light Khaddar | Top Bottoms,2490,L-GREEN
JCA231001,Fabrics 2 Piece,Printed Cambric | Top Bottoms,2490,NAVY
JLK231001,Fabrics 2 Piece,Printed Light Khaddar | Top Bottoms,2490,BEIGE
WSCD23237,Wrap Blouse,Printed | Viscose Crepe,3990,BLACK
WSCT23223,Button Down Tunic,Printed | Viscose Crepe,3490,BROWN
WSCT23224,Drawstring Waist Shirt,Dyed Embroidered | Viscose Cottel,4690,BEIGE
WSCD23241,V Neck Blouse,Dyed Embroidered | Viscose Cottel,3990,BLACK
