ID,Product Name,Product Description,Price,Color,Product Type,Occasion,Skin Tone Category
ALK231009,Fabrics 3 Piece Suit,Printed Light Khaddar | Top Bottoms Dupatta,3490,NAVY,Complete Outfit,Casual,Deep/Dark
BLK231004,Fabrics 3 Piece Suit,Printed Embroidered Light Khaddar | Top Bottoms Dupatta,4290,OLIVE,Complete Outfit,Casual,Medium/Olive
ACA231008,Fabrics 3 Piece Suit,Printed Cambric | Top Bottoms Dupatta,3490,BEIGE,Complete Outfit,Casual,Light/Fair
ILK231001,Fabrics 2 Piece,Printed Embroidered Light Khaddar | Top Bottoms,3990,D-GREEN,2 Piece Outfit,Casual,Deep/Dark
JK231001,Fabrics 2 Piece,Printed Khaddar | Top Bottoms,2490,WHITE,2 Piece Outfit,Casual,Light/Fair
MLK231001,Fabrics 2 Piece,Printed Embroidered Light Khaddar | Top Dupatta,3390,GREEN,2 Piece Outfit,Casual,Deep/Dark
AK231006,Fabrics 3 Piece Suit,Printed Khaddar | Top Bottoms Dupatta,3490,ORANGE,Complete Outfit,Casual,Deep/Dark
BLK231001,Fabrics 3 Piece Suit,Printed Embroidered Light Khaddar | Top Bottoms Dupatta,4290,NAVY,Complete Outfit,Casual,Deep/Dark
JK231002,Fabrics 2 Piece,Printed Khaddar | Top Bottoms,2490,ORANGE,2 Piece Outfit,Casual,Deep/Dark
BCH231002,Fabrics 3 Piece Suit,Dyed Embroidered Crosshatch | Top Bottoms Dupatta,5490,BEIGE,Complete Outfit,Formal,Light/Fair
ALK231017,Fabrics 3 Piece Suit,Printed Light Khaddar | Top Bottoms Dupatta,3490,NAVY,Complete Outfit,Casual,Deep/Dark
BCH231003,Fabrics 3 Piece Suit,Dyed Embroidered Crosshatch | Top Bottoms Dupatta,5490,D-PINK,Complete Outfit,Formal,Deep/Dark
BK231002,Fabrics 3 Piece Suit,Printed Embroidered Khaddar | Top Bottoms Shawl,5490,BLACK,Complete Outfit,Casual,Deep/Dark
BK231004,Fabrics 3 Piece Suit,Printed Embroidered Khaddar | Top Bottoms Dupatta,4990,OLIVE,Complete Outfit,Casual,Medium/Olive
BLK231007,Fabrics 3 Piece Suit,Printed Embroidered Light Khaddar | Top Bottoms Dupatta,4290,GREEN,Complete Outfit,Casual,Deep/Dark
BLK231008,Fabrics 3 Piece Suit,Printed Embroidered Light Khaddar | Top Bottoms Dupatta,4290,BLUE,Complete Outfit,Casual,Deep/Dark
BLK231005,Fabrics 3 Piece Suit,Printed Embroidered Light Khaddar | Top Bottoms Dupatta,4290,MUSTARD,Complete Outfit,Casual,Deep/Dark
BK231001,Fabrics 3 Piece Suit,Printed Embroidered Khaddar | Top Bottoms Shawl,5490,GREEN,Complete Outfit,Casual,Deep/Dark
EET24146,Classic Kurta,Printed | Cambric,2490,MULTI,Top,Casual,Deep/Dark
EST23427,Batwing Tunic,Printed Embroidered | Dull Raw Silk,6490,MULTI,Top,Wedding,Deep/Dark
EET23534,Drop Shoulder,Printed | Khaddar,3490,NAVY,Other,Casual,Deep/Dark
EST23430,Classic Kameez,Printed Embroidered | Dull Raw Silk,4990,OFF-WHITE,Top,Wedding,Light/Fair
EST23424,Classic Kameez,Yarn Dyed | Cotton Polyester Broshia Jacquard,4990,GREEN,Top,Casual,Deep/Dark
EET23532,Choga,Dyed Embroidered | Crosshatch,3690,BLACK,Top,Formal,Deep/Dark
EST23420,Classic Kurta,Dyed Embroidered | Dull Raw Silk,4990,PURPLE,Top,Wedding,Deep/Dark
EST23419,Classic Kurta,Dyed Embroidered | Dull Raw Silk,6990,OFF-WHITE,Top,Wedding,Light/Fair
EST23423,Classic Kameez,Dyed Embroidered | Dull Raw Silk,4990,PINK,Top,Wedding,Light/Fair
EET23528,Drop Shoulder,Dyed Embroidered | Crosshatch,3190,GREEN,Other,Formal,Deep/Dark
EET24141,Classic Kurta,Printed | Cambric,2490,MULTI,Top,Casual,Deep/Dark
EST23429,Choga,Printed Embroidered | Dull Raw Silk,5990,TURQUOISE,Top,Wedding,Light/Fair
LLA230902,Fabrics 2 Piece,Printed Lawn | Top Dupatta,2490,BEIGE,2 Piece Outfit,Casual,Light/Fair
JCA231003,Fabrics 2 Piece,Printed Cambric | Top Bottoms,2490,GREEN,2 Piece Outfit,Casual,Deep/Dark
JLK231002,Fabrics 2 Piece,Printed Light Khaddar | Top Bottoms,2490,L-GREEN,2 Piece Outfit,Casual,Light/Fair
JCA231001,Fabrics 2 Piece,Printed Cambric | Top Bottoms,2490,NAVY,2 Piece Outfit,Casual,Deep/Dark
JLK231001,Fabrics 2 Piece,Printed Light Khaddar | Top Bottoms,2490,BEIGE,2 Piece Outfit,Casual,Light/Fair
WSCD23237,Wrap Blouse,Printed | Viscose Crepe,3990,BLACK,Top,Casual,Deep/Dark
WSCT23223,Button Down Tunic,Printed | Viscose Crepe,3490,BROWN,Top,Casual,Deep/Dark
WSCT23224,Drawstring Waist Shirt,Dyed Embroidered | Viscose Cottel,4690,BEIGE,Top,Formal,Light/Fair
WSCD23241,V Neck Blouse,Dyed Embroidered | Viscose Cottel,3990,BLACK,Top,Formal,Deep/Dark
WSCD23248,Wrap Dress,Printed | Viscose Cottel,4990,BLACK,Top,Casual,Deep/Dark
WSCD23239,Wrap Dress,Printed | Dull Raw Silk,4990,BLUE,Top,Casual,Deep/Dark
WSCD23238,Belted Shirt Dress,Printed | Viscose Crepe,4990,BLUE,Top,Casual,Deep/Dark
WSCB23219,Bootcut Trousers,Printed | Viscose Crepe,2590,BROWN,Bottom,Casual,Deep/Dark
WSCD23240B,Wide Leg Trousers,Dyed Embroidered | Viscose Crepe,3190,BLUE,Bottom,Formal,Deep/Dark
WSCB23221,Straight Trousers,Dyed | Stretch Twill,3490,BEIGE,Bottom,Casual,Light/Fair
WSCB23222,Straight Trousers,Dyed | Stretch Twill,3490,BLACK,Bottom,Casual,Deep/Dark
WCKT23234,Round Neck T-shirt,Dyed Embroidered | Cotton Jersey,1790,WHITE,Top,Formal,Light/Fair
AK231001,Fabrics 3 Piece Suit,Printed Khaddar | Top Bottoms Dupatta,3490,RED,Complete Outfit,Casual,Deep/Dark
ALK231018,Fabrics 3 Piece Suit,Printed Light Khaddar | Top Bottoms Dupatta,3490,BLACK,Complete Outfit,Casual,Deep/Dark
AK231002,Fabrics 3 Piece Suit,Printed Khaddar | Top Bottoms Dupatta,3490,BEIGE,Complete Outfit,Casual,Light/Fair
ALK231012,Fabrics 3 Piece Suit,Printed Light Khaddar | Top Bottoms Dupatta,3490,PURPLE,Complete Outfit,Casual,Deep/Dark
IK231002,Fabrics 2 Piece,Printed Embroidered Khaddar | Top Bottoms,3290,MAROON,2 Piece Outfit,Casual,Deep/Dark
ACA231005,Fabrics 3 Piece Suit,Printed Cambric | Top Bottoms Dupatta,3490,OFF-WHITE,Complete Outfit,Casual,Light/Fair
ACA231001,Fabrics 3 Piece Suit,Printed Cambric | Top Bottoms Dupatta,3990,BLUE,Complete Outfit,Casual,Deep/Dark
ACA231002,Fabrics 3 Piece Suit,Printed Cambric | Top Bottoms Dupatta,3990,PINK,Complete Outfit,Casual,Light/Fair
ACA231006,Fabrics 3 Piece Suit,Printed Cambric | Top Bottoms Dupatta,3490,NAVY,Complete Outfit,Casual,Deep/Dark
ACA231003,Fabrics 3 Piece Suit,Printed Cambric | Top Bottoms Dupatta,3990,BLACK,Complete Outfit,Casual,Deep/Dark
JCA231002,Fabrics 2 Piece,Printed Cambric | Top Bottoms,2490,PURPLE,2 Piece Outfit,Casual,Deep/Dark
LCA231001,Fabrics 2 Piece,Printed Cambric | Top Dupatta,2590,L-PINK,2 Piece Outfit,Casual,Light/Fair
BPO230603,Fabrics 3 Piece Suit,Dyed Embroidered Polyester Organza | Top Bottoms Dupatta,8990,BLUE,Complete Outfit,Wedding,Deep/Dark
BDS230603,Fabrics 3 Piece Suit,Dyed Embroidered Dull Raw Silk | Top Bottoms Dupatta,7390,BLUE,Complete Outfit,Wedding,Deep/Dark
BPO230601,Fabrics 3 Piece Suit,Dyed Embroidered Polyester Organza | Top Bottoms Dupatta,9790,RED,Complete Outfit,Wedding,Deep/Dark
